Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231
Epoch 43/100, Train Loss: 0.1978, Test Loss: 0.2841, Train Accuracy: 0.9358, Train Precision: 0.9384, Train Recall: 0.9340, Train F1 Score: 0.9362, Train AUC-ROC: 0.9746, Test Accuracy: 0.9164, Test Precision: 0.8817, Test Recall: 0.9551, Test F1 Score: 0.9169, Test AUC-ROC: 0.9589

Epoch 44/100, Train Loss: 0.2047, Test Loss: 0.2424, Train Accuracy: 0.9311, Train Precision: 0.9307, Train Recall: 0.9321, Train F1 Score: 0.9314, Train AUC-ROC: 0.9745, Test Accuracy: 0.9164, Test Precision: 0.8994, Test Recall: 0.9383, Test F1 Score: 0.9184, Test AUC-ROC: 0.9634

Epoch 45/100, Train Loss: 0.2069, Test Loss: 0.2547, Train Accuracy: 0.9327, Train Precision: 0.9314, Train Recall: 0.9343, Train F1 Score: 0.9329, Train AUC-ROC: 0.9726, Test Accuracy: 0.9226, Test Precision: 0.8876, Test Recall: 0.9615, Test F1 Score: 0.9231, Test AUC-ROC: 0.9647

Epoch 46/100, Train Loss: 0.2002, Test Loss: 0.2391, Train Accuracy: 0.9342, Train Precision: 0.9368, Train Recall: 0.9325, Train F1 Score: 0.9347, Train AUC-ROC: 0.9744, Test Accuracy: 0.9226, Test Precision: 0.8876, Test Recall: 0.9615, Test F1 Score: 0.9231, Test AUC-ROC: 0.9649

Epoch 47/100, Train Loss: 0.2033, Test Loss: 0.2461, Train Accuracy: 0.9319, Train Precision: 0.9322, Train Recall: 0.9322, Train F1 Score: 0.9322, Train AUC-ROC: 0.9731, Test Accuracy: 0.9288, Test Precision: 0.8994, Test Recall: 0.9620, Test F1 Score: 0.9297, Test AUC-ROC: 0.9630

